Default Dataset,,Dataset 2,
X,Y,X,Y
7.9974110032362455,-1.5657370517928282,8.444012944983818,-2.6015936254980074
8.079288025889968,-1.6135458167330674,8.570550161812298,-2.6573705179282867
8.176051779935275,-1.6533864541832666,8.667313915857605,-2.6733067729083664
8.280258899676376,-1.6932270916334657,8.801294498381877,-2.689243027888446
8.391909385113268,-1.7410358565737047,8.927831715210356,-2.689243027888446
8.481229773462783,-1.772908366533864,9.054368932038834,-2.7051792828685257
8.57799352750809,-1.8207171314741033,9.173462783171521,-2.7051792828685257
8.70453074433657,-1.8924302788844618,9.307443365695793,-2.697211155378486
8.838511326860841,-1.9561752988047807,9.419093851132686,-2.689243027888446
8.987378640776699,-2.0119521912350598,9.575404530744336,-2.6573705179282867
9.113915857605178,-2.0677290836653386,9.701941747572814,-2.625498007968127
9.255339805825242,-2.147410358565737,9.84336569579288,-2.593625498007968
9.4042071197411,-2.2191235059760954,10.007119741100322,-2.5378486055776888
9.6126213592233,-2.3067729083665336,10.170873786407766,-2.4980079681274896
9.694498381877022,-2.3625498007968124,10.364401294498382,-2.50597609561753
9.835922330097087,-2.4501992031872506,10.498381877022652,-2.50597609561753
9.94757281553398,-2.5139442231075697,10.654692556634304,-2.529880478087649
10.074110032362459,-2.6015936254980074,10.818446601941748,-2.617529880478087
10.193203883495144,-2.681274900398406,10.937540453074433,-2.7131474103585655
10.304854368932038,-2.776892430278884,11.011974110032362,-2.832669322709163
10.409061488673139,-2.864541832669323,11.086407766990291,-2.960159362549801
10.51326860841424,-2.9681274900398407,11.16084142394822,-3.0796812749003983
10.61747572815534,-3.0796812749003983,11.198058252427185,-3.2231075697211153
10.684466019417474,-3.1832669322709166,11.257605177993526,-3.3904382470119523
10.758899676375403,-3.294820717131474,11.302265372168284,-3.5258964143426295
10.833333333333332,-3.4143426294820713,11.354368932038835,-3.645418326693227
10.892880258899677,-3.5338645418326693,11.369255663430419,-3.8286852589641436
10.959870550161812,-3.6613545816733066,11.406472491909383,-3.9402390438247012
11.019417475728154,-3.8207171314741037,11.443689320388348,-4.107569721115538
11.078964401294499,-3.9641434262948207,11.466019417475728,-4.290836653386455
11.108737864077668,-4.0677290836653395,11.510679611650485,-4.418326693227092
11.175728155339804,-4.195219123505977,11.547896440129449,-4.625498007968128
11.205501618122977,-4.330677290836654,11.577669902912621,-4.752988047808765
11.26504854368932,-4.4980079681274905,,
11.309708737864078,-4.681274900398407,,
11.324595469255662,-4.800796812749004,,
11.346925566343042,-4.896414342629482,,
11.361812297734627,-4.984063745019921,,
